"channelSeq","channelName","clipNo","title","synonym","vodid","playtime"
243,"BLACKPINK",57137,"리챙's backkk 🖤🦋","블랙핑크,블랙,핑크,blackpink,black,pink,블핑,로제,Rose,리사,Lisa,리챙스,리챙'스,백,리챙'스백,리챙스백","A566D3D852DF5D9634A181E760F310062BC7",85
243,"BLACKPINK",64624,"원조는 츄리포터야 🤓","BLACKPINK,블랙핑크,BLACK,PINK,지수,JISOO,로제,ROSE","B89B2D660D63BD0D2DBEACB9DC3074B7360C",771
243,"BLACKPINK",43167,"챙챙챙 🐹💘","BLACKPINK,BLACK,PINK,블랙핑크,블랙,핑크,로제,Rose","952ABDEBC8CB01004ABF264FEEF201E046B6",1614
243,"BLACKPINK",45039,"젠드기지쳤어요..🙃","블랙핑크,blackpink,블랙,핑크,black,pink,블핑,제니,jenny","F6807A40349C85DF2886DA0B300A64198F86",1067
243,"BLACKPINK",37211,"잠시 들린 퇴근방송 츄요일🤓","블랙핑크,블랙,핑크,블핑,BLACK,PINK,BLACKPINK,지수,JISOO,연습실,지수연습실,블랙핑크연습실","CEB338B567B8E46524A40E798E7B382BB0E8",1109
243,"BLACKPINK",37706,"머리띠잇슈😎","BLACKPINK,블랙핑크,블핑,BLACK,PINK,블랙,핑크,지수,JISOO,제니,JENNIE,","CA2B795DCDC700907B3A8D72BD7FB0FC6A31",1517
243,"BLACKPINK",50821,"잠시 들렸츄💋","BLACKPINK,BLACK,PINK,블랙핑크,블랙,핑크,블핑,지수,JISOO","39777F1A62BCF24519720298BD90FA246E42",1019
243,"BLACKPINK",105669,"어려워서 도망왔오","vlive,v live,BLACKPINK,블랙핑크,BLACK,PINK,블랙,핑크,블핑,지수,JISOO","1AAE678B5E96F339C9182396B1E2061373B9",895
243,"BLACKPINK",43460,"[CH+ mini replay] 리사야 맛있냐?🤓 Lisa, is it delicious?","블랙핑크,blackpink,블랙,핑크,black,pink,지수,jisoo,블핑,리사,lisa,","A3925CD4A6EC60CB92EFB393ADDA8C2114D1",175
370,"온앤오프 (ONF)",100191,"itai","vlive,v live,온앤오프,온,앤,오프,온앤,오프,onf,제이어스,J-us,Jus,이승준,Leeseungjun,Leeseungjoon,효진,Hyojin,이타이,이따이,아파","5502739DBDF1EB41846357AA820458275CD7",204
